name,city,state,industry,type
Alvarado Street Bakery,Petaluma,California,Food & Beverage - Bakeries,Worker Co-op
Angel Cakes Bakery,Oakland,California,Food & Beverage - Bakeries,Worker Co-op
AORTA Cooperative,Charlotte,Vermont,Business Support Services - Consulting,Worker Co-op
Apple Eco Cleaning Cooperative,Elmhurst,New York,Cleaning Services,Worker Co-op
Arbor Assays,Ann Arbor,Michigan,Health - Wellness,Democratic Workplace
Arizmendi Association of Cooperatives,Oakland,California,Business Support Services - Consulting,Worker Co-op
Arizmendi Bakery Emeryville,Emeryville,California,Food & Beverage - Bakeries,Worker Co-op
Arizmendi Bakery Lakeshore,Oakland,California,Food & Beverage - Bakeries,Worker Co-op
Arizmendi Bakery Panaderia and Pizzeria,San Francisco,California,Food & Beverage - Bakeries,Worker Co-op
Arizmendi Cooperative Two Inc,San Francisco,California,Food & Beverage - Bakeries,Worker Co-op
Aroko Cooperative Inc.,San Francisco,California,Technology - Graphic Design & Web Development,Worker Co-op
Art's Cafe,Springville,New York,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Artwood Gallery,Bellingham,Washington,Arts & Entertainment,Worker Co-op
Atlanta Planting Cooperative,Atlanta,Georgia,Build & Design - Landscaping,Worker Co-op
Atthowe Fine Art Services,Oakland,California,Arts & Entertainment,Worker Co-op
Austin Cooperative Business Association,Austin,Texas,Business Support Services - General,Democratic Workplace
Austin Design Cooperative,Brattleboro,Vermont,Build & Design - Architecture & Interior Design,Worker Co-op
AWOL Dance Collective,Portland,Oregon,Arts & Entertainment,Democratic Workplace
Baldwin Apple Ladders,Brooks,Maine,Engineering & Manufacturing,Worker Co-op
Baltimore Bicycle Works,Baltimore,Maryland,Retail,Worker Co-op
Berkeley Massage & Self Healing Center,Berkeley,California,Health - Clinics,Democratic Workplace
Beyond Care Childcare Coop,Brooklyn,New York,Education & Childcare,Worker Co-op
Bicycle Inter-Community Art & Salvage,Tucson,Arizona,Transportation - Service & Repair,Democratic Workplace
Big Duck,Brooklyn,New York,Business Support Services - Marketing,Worker Co-op
Big Timberworks,Gallatin Gateway,Montana,Engineering & Manufacturing,Worker Co-op
Big Water Coffee Roasters,Bayfield,Wisconsin,Food & Beverage - Production & Manufacturing,Worker Co-op
Bio-Classic Cleaning,Bronx,New York,Cleaning Services,Worker Co-op
Biofuel Oasis,Berkeley,California,Energy,Worker Co-op
Black Cap Landscaping Cooperative,Seattle,Washington,Build & Design - Landscaping,Worker Co-op
"Blue Dot Advocates, PBC",Denver,Colorado,Legal Services,Worker Co-op
Blue Heron Community Cooperative,Olympia,Washington,Food & Beverage - Bakeries,Worker Co-op
blue tin production,Chicago,Illinois,Engineering & Manufacturing,Worker Co-op
Bluestockings Cooperative,New York,New York,Media - Bookstores & Publishers,Democratic Workplace
Bonfire Media Collective,Philadelphia,Pennsylvania,Media - Digital Production,Worker Co-op
Boston Cleaning Collective LLC,East Boston,Massachusetts,Cleaning Services,Worker Co-op
